station x y z R
W8 509.53 -1338.54 -745.23 484.02
W16 1667.27 -4396.35 -2452.41 1589.80
W24 3353.71 -8816.08 -4910.74 3188.05
W32 5470.50 -14443.13 -8061.25 5222.88
W40 7988.65 -21181.36 -11844.80 7659.49
W48 10925.70 -28961.66 -16194.06 10473.00
W56 14206.44 -37731.09 -21114.62 13643.97
W64 17842.85 -47447.29 -26566.65 17157.45
W72 21802.57 -58074.16 -32540.96 21000.19
E8 381.68 1463.33 -565.35 484.02
E16 1257.45 4806.65 -1855.04 1589.92
E24 2552.45 9638.20 -3698.88 3188.13
E32 4180.34 15789.68 -6060.60 5222.93
E40 6127.38 23156.24 -8890.33 7659.65
E48 8324.92 31661.66 -12190.73 10472.93
E56 10813.96 41248.78 -15902.56 13644.00
E64 13620.16 51870.75 -19982.12 17157.37
E72 16204.22 63678.31 -24269.82 20999.45
N8 -812.58 -126.88 1200.98 436.37
N16 -2673.19 -416.88 3943.10 1433.62
N24 -5538.93 -865.16 8187.02 2974.68
N32 -8769.76 -1369.81 12961.02 4709.44
N40 -12857.81 -2009.03 19009.59 6906.45
N48 -17583.09 -2747.09 25991.26 9443.50
N56 -22918.88 -3578.90 33852.66 12302.77
N64 -28827.03 -4500.61 42565.13 15470.70
N72 -35282.55 -5508.69 52098.85 18935.62
