Station x y z R
W1 76.69 11.67 -108.36 39.95
W2 49.29 -123.87 -67.42 44.79
W3 96.46 -248.46 -136.94 89.83
W4 156.49 -407.06 -225.51 147.19
W5 228.83 -597.84 -331.98 216.18
W6 311.96 -817.22 -454.39 295.51
W7 405.70 -1064.49 -592.36 384.93
W8 509.53 -1338.54 -745.23 484.02
W9 623.12 -1638.19 -912.51 592.39
E1 151.26 23.33 -218.44 79.96
E2 37.71 135.65 -50.59 44.85
E3 73.37 271.95 -103.23 89.94
E4 118.76 445.77 -170.46 147.44
E5 173.02 653.27 -250.51 216.07
E6 235.66 893.16 -343.18 295.42
E7 305.29 1163.76 -448.46 384.93
E8 381.68 1463.33 -565.35 484.02
E9 465.79 1790.89 -692.95 592.38
N1 2.24 0.05 1.71 0.84
N2 -100.24 -15.93 152.45 54.91
N3 -174.91 -27.56 262.39 94.90
N4 -249.59 -39.15 372.31 134.89
N5 -361.68 -56.66 537.09 194.86
N6 -495.22 -77.43 733.79 266.41
N7 -645.82 -100.90 955.52 347.07
N8 -812.58 -126.88 1200.98 436.37
N9 -995.39 -155.53 1469.71 534.19
